UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
558.4,291.2,0.055,1.027,1.361,0.01,0.04,18.322,8.204,0.231
558.4,291.2,0.055,1.027,1.361,0.01,0.04,18.322,8.204,0.231
580.8,299.3,0.052,0.963,1.206,0.01,0.04,18.398,8.189,0.212
572.6,290.4,0.052,0.998,1.224,0.01,0.04,18.421,8.181,0.204
572.6,290.4,0.052,0.998,1.224,0.01,0.04,18.421,8.181,0.204
539.1,289.2,0.052,0.94,1.172,0.01,0.04,18.435,8.12,0.207
539.1,289.2,0.052,0.94,1.172,0.01,0.04,18.435,8.12,0.207
549.3,267.6,0.059,0.962,1.274,0.01,0.04,18.538,8.27,0.235
549.3,267.6,0.059,0.962,1.274,0.01,0.04,18.538,8.27,0.235
530.8,289.9,0.053,0.975,1.196,0.01,0.04,18.211,8.11,0.203
545.9,291.6,0.05,0.96,1.139,0.01,0.04,18.467,8.223,0.205
545.9,291.6,0.05,0.96,1.139,0.01,0.04,18.467,8.223,0.205
580.1,293.8,0.049,1.046,1.183,0.01,0.04,18.064,8.061,0.215
580.1,293.8,0.049,1.046,1.183,0.01,0.04,18.064,8.061,0.215
571.3,294.5,0.063,1.024,1.151,0.01,0.04,18.389,8.189,0.202
571.3,294.5,0.063,1.024,1.151,0.01,0.04,18.389,8.189,0.202
548.4,298.6,0.049,1.006,1.121,0.01,0.04,18.382,8.256,0.21
535.9,298.4,0.054,0.965,1.148,0.01,0.04,18.042,8.042,0.215
535.9,298.4,0.054,0.965,1.148,0.01,0.04,18.042,8.042,0.215
548.6,284.5,0.048,0.991,1.277,0.01,0.04,18.383,8.102,0.213
548.6,284.5,0.048,0.991,1.277,0.01,0.04,18.383,8.102,0.213
552.9,298.9,0.054,1.021,1.248,0.01,0.04,18.416,8.122,0.251
552.9,298.9,0.054,1.021,1.248,0.01,0.04,18.416,8.122,0.251
570.5,275.4,0.054,1.069,1.21,0.01,0.04,18.495,8.211,0.223
570.5,275.4,0.054,1.069,1.21,0.01,0.04,18.495,8.211,0.223
569.3,283.8,0.049,0.952,1.213,0.01,0.04,18.467,8.138,0.199
569.3,283.8,0.049,0.952,1.213,0.01,0.04,18.467,8.138,0.199
572.8,289.1,0.049,1.017,1.217,0.01,0.04,18.46,8.181,0.223
572.8,289.1,0.049,1.017,1.217,0.01,0.04,18.46,8.181,0.223
577.8,268.4,0.058,0.981,1.191,0.01,0.04,18.258,8.217,0.229
577.8,268.4,0.058,0.981,1.191,0.01,0.04,18.258,8.217,0.229
538.4,298.8,0.053,0.999,1.161,0.01,0.04,18.261,8.15,0.218
538.4,298.8,0.053,0.999,1.161,0.01,0.04,18.261,8.15,0.218
549.8,274.6,0.055,1.004,1.174,0.01,0.04,18.243,8.102,0.244
549.8,274.6,0.055,1.004,1.174,0.01,0.04,18.243,8.102,0.244
580.2,289.1,0.06,0.95,1.15,0.01,0.04,18.249,8.212,0.238
580.2,289.1,0.06,0.95,1.15,0.01,0.04,18.249,8.212,0.238
579.9,295.4,0.059,0.991,1.24,0.01,0.03,18.106,8.057,0.253
579.9,295.4,0.059,0.991,1.24,0.01,0.03,18.106,8.057,0.253
579.9,295.4,0.059,0.991,1.24,0.01,0.03,18.106,8.057,0.253
530.8,288.3,0.056,1,1.195,0.01,0.04,18.218,8.276,0.281
530.8,288.3,0.056,1,1.195,0.01,0.04,18.218,8.276,0.281
538.4,279.3,0.055,0.978,1.318,0.01,0.04,18.21,8.138,0.228
545.9,290.4,0.057,0.994,1.294,0.01,0.04,18.187,8.109,0.23
545.9,290.4,0.057,0.994,1.294,0.01,0.04,18.187,8.109,0.23
550.8,279.4,0.052,0.96,1.239,0.01,0.04,18.066,8.15,0.309
550.8,279.4,0.052,0.96,1.239,0.01,0.04,18.066,8.15,0.309
570.2,289.8,0.054,0.962,1.193,0.01,0.04,18.086,8.143,0.256
